epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.264,1.39766,2.46153,1.70114,0.51779,0.33001,0.31703,0.14231,1.92059,2.60626,2.41874,0.000551112,0.000551112,0.000551112
2,183.694,1.48831,2.07234,1.77395,0.36527,0.30111,0.28642,0.13287,2.04893,2.90125,3.0246,0.00109582,0.00109582,0.00109582
3,240.842,1.56471,2.02969,1.8201,0.28074,0.32245,0.25716,0.14338,2.01532,2.96077,2.55961,0.00162953,0.00162953,0.00162953
4,298.328,1.52513,1.89715,1.79134,0.46449,0.38413,0.38939,0.2096,1.80601,2.20582,2.2553,0.00161749,0.00161749,0.00161749
5,356.563,1.4924,1.83272,1.77292,0.50079,0.39451,0.40664,0.22351,1.8628,2.24357,2.48575,0.00160099,0.00160099,0.00160099
6,413.04,1.4683,1.75468,1.73985,0.67614,0.51691,0.56991,0.3525,1.59698,1.78412,2.03483,0.00158448,0.00158448,0.00158448
7,470.389,1.44171,1.73755,1.71873,0.65312,0.4637,0.54035,0.36054,1.54569,1.79938,1.96322,0.00156798,0.00156798,0.00156798
8,527.616,1.42343,1.67009,1.72033,0.61148,0.54011,0.56444,0.36072,1.57248,1.69081,2.0163,0.00155148,0.00155148,0.00155148
9,584.327,1.40212,1.65912,1.69907,0.7071,0.52118,0.587,0.39569,1.53927,1.68272,1.97435,0.00153497,0.00153497,0.00153497
10,641.16,1.411,1.64973,1.68262,0.6389,0.5125,0.55761,0.36914,1.57645,1.98356,1.98248,0.00151847,0.00151847,0.00151847
11,698.434,1.35471,1.58327,1.64888,0.72545,0.56546,0.63901,0.44495,1.39992,1.47469,1.80963,0.00150197,0.00150197,0.00150197
12,754.843,1.34427,1.53426,1.64045,0.73406,0.58358,0.64856,0.44551,1.42356,1.45966,1.85432,0.00148546,0.00148546,0.00148546
13,810.634,1.32572,1.56248,1.6401,0.73445,0.56849,0.62662,0.43094,1.42296,1.4737,1.85805,0.00146896,0.00146896,0.00146896
14,868.512,1.33287,1.55212,1.63913,0.74361,0.55616,0.64785,0.43675,1.42191,1.47959,1.83821,0.00145246,0.00145246,0.00145246
15,925.661,1.32047,1.52345,1.62335,0.75372,0.57887,0.66062,0.45459,1.38096,1.38359,1.80302,0.00143595,0.00143595,0.00143595
16,982.273,1.31454,1.49894,1.62459,0.76516,0.59021,0.67042,0.46406,1.37605,1.38069,1.83733,0.00141945,0.00141945,0.00141945
17,1039.48,1.29829,1.48549,1.59931,0.75103,0.61074,0.67787,0.47476,1.34784,1.35762,1.78448,0.00140295,0.00140295,0.00140295
18,1096.63,1.31132,1.49585,1.6253,0.75226,0.60031,0.67972,0.47139,1.35221,1.37078,1.76663,0.00138644,0.00138644,0.00138644
19,1152.9,1.27724,1.44184,1.5898,0.78171,0.62042,0.6918,0.49031,1.31504,1.3179,1.75684,0.00136994,0.00136994,0.00136994
20,1209.21,1.28012,1.45012,1.59165,0.7594,0.59052,0.67446,0.47291,1.33429,1.35792,1.7728,0.00135344,0.00135344,0.00135344
21,1266.6,1.28813,1.45637,1.59779,0.80014,0.58689,0.68499,0.49121,1.30468,1.37536,1.72925,0.00133693,0.00133693,0.00133693
22,1323.39,1.24551,1.41848,1.57747,0.76483,0.62156,0.6932,0.48313,1.3219,1.29786,1.74299,0.00132043,0.00132043,0.00132043
23,1382.12,1.2273,1.36134,1.55103,0.78663,0.63798,0.70224,0.49971,1.31657,1.28223,1.73001,0.00130393,0.00130393,0.00130393
24,1438.89,1.23461,1.38502,1.56141,0.80595,0.59498,0.69308,0.49439,1.30446,1.35939,1.71515,0.00128742,0.00128742,0.00128742
25,1495.91,1.23648,1.37523,1.56984,0.74272,0.64152,0.70438,0.50735,1.29431,1.25568,1.70588,0.00127092,0.00127092,0.00127092
26,1553.45,1.24702,1.37312,1.55853,0.80287,0.63924,0.71994,0.5132,1.25719,1.22982,1.68292,0.00125442,0.00125442,0.00125442
27,1610.28,1.24227,1.406,1.5784,0.7612,0.63579,0.70072,0.5046,1.27289,1.25964,1.70006,0.00123791,0.00123791,0.00123791
28,1666.79,1.22512,1.35103,1.55926,0.75584,0.65471,0.72212,0.51535,1.25894,1.27053,1.71681,0.00122141,0.00122141,0.00122141
29,1724.49,1.206,1.32424,1.53384,0.79871,0.65042,0.73012,0.52503,1.23387,1.18778,1.65523,0.00120491,0.00120491,0.00120491
30,1781.55,1.21164,1.33124,1.54684,0.8099,0.651,0.73119,0.52836,1.21478,1.18707,1.64999,0.0011884,0.0011884,0.0011884
31,1838.07,1.20185,1.32109,1.54469,0.79593,0.64519,0.72529,0.51604,1.23955,1.24521,1.66367,0.0011719,0.0011719,0.0011719
32,1896.19,1.19206,1.32349,1.52945,0.74965,0.69125,0.72976,0.53036,1.23017,1.1957,1.67681,0.0011554,0.0011554,0.0011554
33,1953.52,1.17355,1.25962,1.50484,0.77699,0.67064,0.72678,0.52597,1.19644,1.21316,1.63752,0.00113889,0.00113889,0.00113889
34,2010.42,1.20839,1.31102,1.54031,0.75447,0.68511,0.73321,0.52884,1.23979,1.23102,1.68573,0.00112239,0.00112239,0.00112239
35,2068.96,1.167,1.27122,1.50885,0.80705,0.65242,0.73403,0.53902,1.1972,1.15257,1.62491,0.00110589,0.00110589,0.00110589
36,2126.23,1.16901,1.262,1.51169,0.81964,0.63962,0.72981,0.53225,1.18197,1.17281,1.6154,0.00108938,0.00108938,0.00108938
